year	publications	errata	republished
1971	222827	0	0
1972	226737	0	0
1973	230421	0	0
1974	234216	0	0
1975	247857	0	1
1976	253600	0	1
1977	260474	0	0
1978	270887	1	0
1979	279858	0	0
1980	278069	0	0
1981	280583	0	0
1982	292220	0	0
1983	305726	0	0
1984	314738	0	0
1985	331708	0	1
1986	345502	0	3
1987	363754	0	15
1988	381976	1	16
1989	398620	1	17
1990	406045	20	38
1991	407468	98	35
1992	412539	140	33
1993	421007	140	63
1994	431209	144	57
1995	442026	148	60
1996	452327	83	77
1997	451789	50	75
1998	469681	27	79
1999	488266	19	59
2000	528306	30	86
2001	542518	12	93
2002	560089	23	80
2003	589901	9	80
2004	633972	11	75
2005	694537	19	76
2006	739883	21	59
2007	777430	16	67
2008	825631	27	42
2009	863328	28	31
2010	920267	20	44
2011	634186	8	14
