journal	count	minDateCreated
Accid Emerg Nurs	2	2007-06-20
Acta Dermatovenerol Alp Panonica Adriat	2	2009-09-28
Acta Neurol. Scand.	2	2008-09-22
Acta Obstet Gynecol Scand	2	2005-10-19
Acta Pharmacol. Sin.	2	2001-07-01
Aesthetic Plast Surg	6	1994-07-28
AIDS Res. Hum. Retroviruses	2	1993-01-08
AJNR Am J Neuroradiol	2	2004-03-25
Aliment. Pharmacol. Ther.	4	2003-12-22
AMIA Annu Symp Proc	2	2008-02-22
Am. J. Cardiol.	3	1982-12-02
Am. J. Gastroenterol.	2	1998-04-14
Am. J. Hum. Biol.	2	2004-03-02
Am. J. Hum. Genet.	2	1985-02-04
Am. J. Obstet. Gynecol.	2	2005-02-07
Am. J. Physiol.	3	1986-08-21
Am. J. Physiol. Endocrinol. Metab.	2	2008-01-09
Am. J. Physiol. Lung Cell Mol. Physiol.	2	2010-12-20
Am J Psychiatry	2	1989-06-02
Am. J. Respir. Cell Mol. Biol.	2	2008-08-12
Am. J. Respir. Crit. Care Med.	4	2000-10-12
Am J Rhinol	2	2006-12-21
Anal. Biochem.	2	2008-06-09
Anal Sci	4	2006-06-13
Anesth. Analg.	31	2008-08-20
Anesthesiology	11	1993-12-10
Angew. Chem. Int. Ed. Engl.	6	2006-09-07
Angiology	3	2002-07-29
Ann. Hum. Biol.	2	2009-04-21
Ann. Intern. Med.	3	1983-09-09
Ann. Neurol.	2	1981-10-14
Ann. N. Y. Acad. Sci.	3	2009-07-07
Ann. Rheum. Dis.	2	2008-04-14
Ann. Thorac. Surg.	8	1997-07-18
APMIS	2	2009-07-14
Arch. Dis. Child.	4	2006-09-12
Arch. Gen. Psychiatry	3	1988-07-28
Arch. Gynecol. Obstet.	2	2010-10-06
Arch. Med. Res.	2	2003-12-02
Arch. Pharm. Res.	2	2006-11-22
Arterioscler. Thromb. Vasc. Biol.	6	2007-12-20
Arthritis Rheum.	3	2006-10-02
Biochem. Biophys. Res. Commun.	17	1991-12-02
Biochemistry	9	1995-04-13
Biochem. J.	8	1977-08-12
Biochem. Pharmacol.	2	2010-05-12
Biochim. Biophys. Acta	3	1994-02-24
Biol. Pharm. Bull.	3	2004-04-16
Biol. Psychiatry	3	2004-11-04
Biol. Reprod.	2	2006-03-20
Biomacromolecules	2	2010-01-11
Bioorg. Med. Chem. Lett.	2	2007-11-06
Biophys. J.	3	2003-12-03
Bioresour. Technol.	3	2008-07-30
Biotechnol. Adv.	4	2004-10-27
Biotechnol. Prog.	2	2005-04-01
BJU Int.	2	2010-06-17
Blood	16	1996-09-12
Blood Cells Mol. Dis.	2	2009-04-22
BMJ	6	1989-10-11
Brain Res.	4	1993-10-14
Brain Res. Bull.	2	2008-04-08
Br J Nurs	2	2007-09-18
Br J Ophthalmol	4	2008-07-29
Br. J. Pharmacol.	3	2003-03-06
Bull. Exp. Biol. Med.	2	2010-01-18
Cancer Biol. Ther.	4	2008-07-10
Cancer Res.	11	1992-08-04
Cancer Sci.	6	2005-06-16
Carcinogenesis	3	1995-07-05
Cardiovasc Intervent Radiol	3	1987-06-23
Cardiovasc. Res.	2	2008-10-16
Cell	22	1990-09-13
Cells Tissues Organs (Print)	2	2010-04-20
Chem. Commun. (Camb.)	3	2004-01-15
Chemistry	2	2010-12-20
Chemosphere	4	2008-06-25
Chest	2	2008-10-09
Chin. Med. J.	2	2005-04-21
Circ. J.	2	2008-10-24
Circ. Res.	6	1984-01-26
Circulation	6	1982-12-16
Clin Anat	2	2008-10-06
Clin. Cancer Res.	3	2002-09-16
Clin. Exp. Immunol.	3	1985-04-05
Clin. Rheumatol.	4	2009-07-17
Clin. Sci.	3	2005-01-18
Clin Ter	2	2008-10-20
Clin. Vaccine Immunol.	2	2008-04-08
Cognition	4	2001-08-03
Croat. Med. J.	3	2007-04-18
Curr. Biol.	2	2007-11-08
Curr. Eye Res.	2	1993-01-07
Curr Opin Organ Transplant	2	2008-08-07
Curr Rev Musculoskelet Med	2	2011-04-08
Diabetes	7	1981-02-26
Dig. Dis. Sci.	2	2010-01-21
Dis. Colon Rectum	5	2005-10-13
Dis. Esophagus	2	2008-10-08
DNA Repair (Amst.)	2	2003-02-26
EMBO J.	14	1990-10-11
EMBO Rep.	2	2006-07-04
Endocrinology	3	2008-05-21
Endocr. J.	4	2007-03-07
Environ. Microbiol.	2	2005-02-01
Environ. Sci. Technol.	3	2008-05-27
Eur J Anaesthesiol	12	2010-03-11
Eur. J. Biochem.	3	1990-05-02
Eur. J. Cancer	2	1998-11-06
Eur. J. Immunol.	3	1985-06-20
Eur. J. Neurosci.	3	1999-09-30
Eur J Pediatr Surg	2	2009-05-20
Eur. J. Pharmacol.	3	2004-04-05
Eur J Surg Oncol	2	2009-03-05
Exp. Eye Res.	2	1992-08-19
Exp. Mol. Med.	2	2000-02-10
Eye Contact Lens	2	2009-05-07
FASEB J.	9	2007-10-01
FEBS Lett.	11	1994-05-03
FEMS Immunol. Med. Microbiol.	3	2008-06-30
Folia Biol. (Praha)	2	2007-12-11
Gan To Kagaku Ryoho	3	2002-05-07
Gastroenterology	2	1994-08-25
Gene Ther.	2	2006-05-18
Genetica	2	2010-12-20
Genome Res.	2	2004-09-20
Genomics	2	1995-04-21
Ginekol. Pol.	3	1998-12-10
Glia	3	1997-09-04
Gut	8	2001-04-02
Gynecol. Oncol.	2	2005-04-05
Haematologica	7	2008-08-01
HBPD INT	2	2005-09-01
Hepatology	2	1995-12-14
Hereditas	3	1989-04-20
Hum. Genet.	2	1991-10-30
Hum. Gene Ther.	2	2010-03-18
Hum. Immunol.	2	2001-10-15
Hum. Mol. Genet.	2	2007-05-01
Hypertension	2	2002-10-04
Hypertens. Res.	2	2008-07-17
Immunity	6	1999-11-23
Immunol. Lett.	2	1999-03-01
Infect. Immun.	13	1993-11-17
Inflammation	2	2009-07-14
Injury	2	2008-08-18
Intern. Med.	2	2008-09-30
Int. Immunopharmacol.	2	2010-10-28
Int. J. Cancer	3	1992-05-15
Int. J. Cardiol.	3	2008-03-31
Int. J. Impot. Res.	2	2007-11-05
Int. J. Neurosci.	2	1994-06-01
Int J Occup Med Environ Health	2	1998-09-24
Int. J. Syst. Evol. Microbiol.	9	2010-01-13
Int. J. Urol.	3	2006-10-02
Invest. Ophthalmol. Vis. Sci.	2	1994-08-26
Iran J Allergy Asthma Immunol	2	2008-03-21
ISA Trans	2	2002-06-19
J. Agric. Food Chem.	2	2009-10-07
J. Allergy Clin. Immunol.	2	2010-05-12
JAMA	2	2005-05-25
J. Am. Chem. Soc.	8	2006-03-01
J. Am. Coll. Cardiol.	2	1986-01-02
J. Appl. Physiol.	5	1985-12-19
J Arthroplasty	2	2010-02-01
J Assoc Physicians India	2	2005-09-28
J. Bacteriol.	5	1997-05-09
J. Biochem. Mol. Biol.	3	2002-12-11
J. Biol. Chem.	32	1993-01-12
J. Biomed. Mater. Res. Part B Appl. Biomater.	2	2009-04-08
J Bone Joint Surg Br	2	1997-11-06
J. Cancer Res. Clin. Oncol.	2	2010-02-19
J. Cell. Biochem.	2	2009-12-01
J. Cell Biol.	5	2003-02-19
J. Cell. Mol. Med.	5	2009-01-14
J Chem Phys	6	2006-05-05
J. Chromatogr. B Analyt. Technol. Biomed. Life Sci.	2	2008-04-25
J. Clin. Endocrinol. Metab.	2	1980-12-18
J. Clin. Invest.	15	1986-06-25
J. Clin. Microbiol.	5	1989-08-23
J. Clin. Oncol.	6	2001-06-01
J. Clin. Pathol.	5	2005-06-16
J Colloid Interface Sci	4	2007-09-14
J Coll Physicians Surg Pak	2	2009-01-19
J. Dermatol.	2	2011-01-07
J Drug Target	3	2008-11-04
J Environ Sci (China)	2	2008-06-26
J Ethnopharmacol	5	2008-05-21
J. Exp. Clin. Cancer Res.	3	2009-07-29
J. Exp. Med.	8	1987-06-23
J. Fish Biol.	2	2010-07-21
J Foot Ankle Surg	2	2009-08-24
J. Forensic Sci.	2	1996-01-22
J. Formos. Med. Assoc.	2	2008-05-09
J Gene Med	2	2007-05-07
J. Gen. Virol.	3	2001-10-16
J. Hazard. Mater.	13	2008-04-28
J. Hosp. Infect.	2	2006-10-17
J. Huazhong Univ. Sci. Technol. Med. Sci.	3	2003-11-21
J. Immunol.	32	1987-11-19
J. Infect. Dis.	2	1995-12-28
J. Leukoc. Biol.	3	1991-08-27
J Med Assoc Thai	2	2010-03-03
J. Mol. Biol.	6	1995-10-11
J. Neurochem.	4	1989-07-13
J. Neuroimmunol.	2	1997-02-19
J. Neurol. Neurosurg. Psychiatr.	3	2006-02-17
J. Neurooncol.	2	2010-03-12
J. Neurosci. Res.	2	1992-05-11
J. Nutr.	2	2000-10-03
J Obstet Gynaecol	2	2007-01-31
J. Obstet. Gynaecol. Res.	4	2004-03-10
J. Occup. Environ. Med.	2	2006-07-11
J. Org. Chem.	3	2008-02-29
J Pain	4	2003-11-19
J Pak Med Assoc	7	2008-07-28
J. Pathol.	2	2006-10-23
J. Periodontol.	2	2005-07-15
J. Pharmacol. Exp. Ther.	2	1994-03-28
J Pharm Sci	2	2008-03-04
J Phys Chem B	2	2006-05-04
Jpn. J. Med. Sci. Biol.	2	1989-03-21
J. Steroid Biochem. Mol. Biol.	2	2008-03-14
J. Surg. Res.	4	1998-05-27
J. Thorac. Cardiovasc. Surg.	4	2000-04-13
J. Urol.	5	1991-09-05
J. Vasc. Surg.	2	2006-02-14
J. Virol.	11	1991-10-22
Lancet	13	1990-01-29
Langmuir	4	2006-11-19
Laryngoscope	4	2009-05-26
Leukemia	4	1994-07-13
Life Sci.	4	2000-02-17
Metab. Clin. Exp.	2	2005-08-29
Microbiology (Reading, Engl.)	3	2007-02-26
Mol. Biol. Cell	2	2008-10-29
Mol. Cancer	4	2004-07-16
Mol. Cell. Biochem.	3	2001-02-06
Mol. Cell. Biol.	16	1994-09-19
Mol. Cells	3	2002-03-25
Molecules	3	2007-10-29
Mol. Endocrinol.	8	2004-07-27
Mol. Pharmacol.	5	1993-10-14
Mol. Ther.	2	2010-12-01
Nan Fang Yi Ke Da Xue Xue Bao	2	2007-03-16
Nat. Biotechnol.	2	2004-05-03
Nat. Cell Biol.	3	2003-06-30
Nat. Genet.	2	1995-11-20
Nat. Med.	8	2001-05-31
Nat. Prod. Res.	4	2004-05-17
Nature	43	1989-02-15
Naunyn Schmiedebergs Arch. Pharmacol.	2	2009-05-15
Ned Tijdschr Geneeskd	2	1997-03-11
N. Engl. J. Med.	15	1980-12-16
Neurochem. Res.	2	2008-07-01
Neurology	6	1996-11-26
Neuron	4	1998-06-02
Neuroreport	2	1998-08-13
Neuroscience	4	1994-07-21
Neurosurg Focus	3	2006-08-03
Nucleic Acids Res.	6	1990-12-05
Nucleic Acids Symp Ser (Oxf)	2	2008-09-08
Obesity (Silver Spring)	2	2009-07-08
Obstet Gynecol	10	1991-11-20
Oncogene	2	2005-03-10
Oral Oncol.	5	2006-08-04
Org. Lett.	3	2007-11-16
Orthopedics	3	1988-08-17
Pediatrics	3	1987-12-11
Pharmacol Rep	2	2009-01-27
Pharmazie	2	2004-05-24
Phys Rev E Stat Nonlin Soft Matter Phys	2	2003-04-16
Phys. Rev. Lett.	2	2003-01-30
Phytochemistry	2	2009-03-27
Phytother Res	10	2007-05-22
Plant Cell Rep.	2	2009-02-02
Plant Physiol.	4	2005-04-12
Plast. Reconstr. Surg.	4	1997-05-08
PLoS ONE	2	2010-03-11
PLoS Pathog.	2	2010-03-22
Proc. Biol. Sci.	2	1997-01-07
Proc. Natl. Acad. Sci. U.S.A.	55	1984-05-30
Proc. Soc. Exp. Biol. Med.	2	1987-09-22
Protein Sci.	2	2004-09-28
Prz. Lek.	2	1998-02-25
Psychol Sci	2	2002-04-05
Reg Anesth Pain Med	3	2006-07-21
Resuscitation	2	2002-08-09
Rev Sci Instrum	2	2009-10-01
RNA	2	1999-06-14
S. Afr. Med. J.	2	2010-03-11
Saudi Med J	2	2008-12-15
Scand. J. Immunol.	2	2009-10-30
Sci. China, C, Life Sci.	4	2007-04-05
Science	52	1983-05-05
Sleep	2	2009-05-05
Stem Cell Rev	2	2009-06-12
Surgery	2	1992-04-23
Talanta	7	2008-07-01
Thyroid	2	2006-02-20
Tidsskr. Nor. Laegeforen.	3	2005-10-06
Transfus Med	2	2006-12-13
Transplantation	5	2005-06-23
Transplant. Proc.	3	1996-02-08
Viral Immunol.	3	2008-09-15
Virol. J.	2	2007-12-12
Virus Res.	3	2001-10-29
Wiad. Lek.	2	1998-07-14
Yonsei Med. J.	5	2004-12-31
Zhonghua Yi Xue Yi Chuan Xue Za Zhi	2	2006-02-03
