year	publications	retracted	retractionOf
1971	222827	0	0
1972	226737	0	0
1973	230421	1	0
1974	234216	0	0
1975	247857	5	0
1976	253600	3	0
1977	260474	1	3
1978	270887	8	0
1979	279858	7	0
1980	278069	12	6
1981	280583	16	2
1982	292220	6	4
1983	305726	13	9
1984	314738	13	7
1985	331708	11	11
1986	345502	8	5
1987	363754	12	9
1988	381976	13	5
1989	398620	27	12
1990	406045	37	19
1991	407468	30	19
1992	412539	27	25
1993	421007	18	18
1994	431209	32	18
1995	442026	37	20
1996	452327	33	15
1997	451789	38	39
1998	469681	42	47
1999	488266	51	32
2000	528306	68	23
2001	542518	81	26
2002	560089	75	41
2003	589901	99	58
2004	633972	133	67
2005	694537	156	73
2006	739883	198	138
2007	777430	185	139
2008	825635	175	241
2009	863328	160	295
2010	920237	107	291
2011	631091	12	219
